title,GENRE,genre/SUB,LANGUAGE,language/SUB,imdb_score,premiere,runtime,year
Dad Wanted,Family,Family_SPECIFIC,Spanish,Spanish,5.7,09-11-2020,102,2020
To All the Boys: P.S. I Still Love You,Romance,Romantic comedy,English,English_SPECIFIC,6,02-12-2020,102,2020
Naked,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,5.4,08-11-2017,96,2017
Guilty,Thriller,Thriller_SPECIFIC,Hindi,Hindi,5.4,03-06-2020,119,2020
To All the Boys I've Loved Before,Romance,Romantic comedy,English,English_SPECIFIC,7.1,8/17/2018,99,2018
Tribhanga ? Tedhi Medhi Crazy,Drama,Drama_SPECIFIC,Hindi,Hindi,6.1,1/15/2021,95,2021
Team Foxcatcher,Documentary,Documentary_SPECIFIC,English,English/Russian,7.3,4/29/2016,90,2016
The Players,Comedy,Comedy_SPECIFIC,Italian,Italian,4.6,7/15/2020,88,2020
Take Your Pills,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.4,3/16/2018,87,2018
Wheelman,ACTION,Action thriller,English,English_SPECIFIC,6.4,10/20/2017,82,2017
Resurface,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7,09-01-2017,27,2017
Dangerous Lies,Thriller,Thriller_SPECIFIC,English,English_SPECIFIC,5.3,4/30/2020,97,2020
A Life of Speed: The Juan Manuel Fangio Story,Documentary,Documentary_SPECIFIC,Spanish,Spanish,6.8,3/20/2020,92,2020
One of Us,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.1,10/20/2017,95,2017
A Tale of Two Kitchens,Documentary,Documentary_SPECIFIC,English,English/Spanish,6.3,5/22/2019,30,2019
Over the Moon,Animation,Animation/Musical/Adventure,English,English_SPECIFIC,6.4,10/23/2020,95,2020
Raat Akeli Hai,Thriller,Thriller_SPECIFIC,Hindi,Hindi,7.3,7/31/2020,149,2020
Two Catalonias,Documentary,Documentary_SPECIFIC,Spanish,Spanish/Catalan,6.4,9/28/2018,116,2018
Keith Richards: Under the Influence,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.1,9/18/2015,81,2015
ReMastered: Who Shot the Sheriff?,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.9,10-12-2018,57,2018
Like Father,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,6.1,08-03-2018,103,2018
ReMastered: The Two Killings of Sam Cooke,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,7.3,02-08-2019,64,2019
Winter on Fire: Ukraine's Fight for Freedom,Documentary,Documentary_SPECIFIC,English,English/Ukranian/Russian,8.4,10-09-2015,91,2015
Hold the Dark,Thriller,Thriller_SPECIFIC,English,English_SPECIFIC,5.6,9/28/2018,125,2018
Below Zero,Drama,Drama_SPECIFIC,Spanish,Spanish,6.2,1/29/2021,106,2021
Sierra Burgess Is a Loser,Romance,Romantic comedy-drama,English,English_SPECIFIC,5.8,09-07-2018,105,2018
Casting JonBenet,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.1,4/28/2017,80,2017
The Half of It,Romance,Romance_SPECIFIC,English,English_SPECIFIC,6.9,05-01-2020,105,2020
Just Another Christmas,Comedy,Comedy_SPECIFIC,Portuguese,Portuguese,6.7,12-03-2020,101,2020
Otherhood,Comedy,Comedy_SPECIFIC,English,English_SPECIFIC,6.1,08-02-2019,100,2019
Octonauts & the Caves of Sac Actun,Animation,Animation_ONLY,English,English_SPECIFIC,6.2,8/14/2020,72,2020
CounterPunch ,Documentary,Documentary_SPECIFIC,English,English_SPECIFIC,6.7,6/16/2017,91,2017
Octonauts & the Great Barrier Reef,Animation,Animation_ONLY,English,English_SPECIFIC,7.3,10/13/2020,47,2020
The Claus Family,Fantasy,Fantasy_,Dutch,Dutch_SPECIFIC,5.8,12-07-2020,96,2020
Moxie,Drama,Drama_SPECIFIC,English,English_SPECIFIC,6.7,03-03-2021,111,2021
The Woman in the Window,Psychological,Psychological thriller,English,English_SPECIFIC,5.7,5/14/2021,100,2021
The Last Thing He Wanted, thriller,Political thriller,English,English_SPECIFIC,4.3,2/21/2020,115,2020
